run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep02-run010,2,10,short_out16_n8,short,8,16,43,48,45.25,362,490,359.3766900000048,128,356.1722381048094,64.45040299999505,66.6019370000015,356.44572700002186,359.01150899999834,19.433929933334564,20.822440799999715
rep02-run011,2,11,short_out16_n2,short,2,16,43,44,43.5,87,119,346.1085209999908,32,92.45655064355047,44.578161000004,64.16782100001228,345.12357799999904,345.8848200000091,18.730383799999117,20.08711060000034
rep02-run012,2,12,short_out32_n2,short,2,32,43,44,43.5,87,151,662.8315719999875,64,96.55544893085028,43.64271899999039,62.6830390000066,661.8057020000094,662.5946149999891,19.326537516129125,19.966190193548343
rep00-run013,0,13,long_out16_n8,long,8,16,117,122,119.25,954,1082,354.76204100001496,128,360.805230568607,66.38076400000159,69.09676200001513,351.4060910000012,354.4054200000062,18.956817666666364,20.457982400000674
rep01-run014,1,14,short_out32_n4,short,4,32,43,44,43.25,173,301,675.7866620000073,128,189.40888774155567,64.67649600000414,65.66638999998986,674.2193100000122,675.5030369999986,19.64769290322652,20.30746870967769
rep02-run015,2,15,short_out16_n1,short,1,16,44,44,44.0,44,60,323.5240260000012,16,49.45536873357264,42.712708999999904,42.712708999999904,323.3365989999868,323.3365989999868,18.70825933333246,18.70825933333246
rep01-run016,1,16,short_out16_n1,short,1,16,44,44,44.0,44,60,324.8541199999977,16,49.252876952892315,43.29665200000932,43.29665200000932,324.6734460000198,324.6734460000198,18.75845293333403,18.75845293333403
rep02-run017,2,17,long_out16_n1,long,1,16,118,118,118.0,118,134,323.4912450000138,16,49.46038029560682,42.41078799998377,42.41078799998377,323.30948399999215,323.30948399999215,18.726579733333892,18.726579733333892
rep02-run018,2,18,long_out32_n1,long,1,32,118,118,118.0,118,150,637.2079420000034,32,50.219085310772584,42.04211700002247,42.04211700002247,637.0273630000156,637.0273630000156,19.193072451612682,19.193072451612682
rep00-run019,0,19,short_out16_n8,short,8,16,43,48,45.25,362,490,348.27526199998715,128,367.5253857105841,63.59684800000309,65.54790699999558,345.70624100001623,347.9221149999887,18.775768133334243,20.124660666666234
rep02-run020,2,20,long_out16_n2,long,2,16,117,118,117.5,235,267,348.21244700000875,32,91.897921156159,45.75260100000378,64.73020299998211,346.8582399999889,347.99832499999184,18.808535800000453,20.149714933332536
rep01-run021,1,21,short_out16_n4,short,4,16,43,44,43.25,173,237,353.2560029999843,64,181.17172661324273,68.9094839999882,69.90771700000664,351.7306570000187,352.99724899999774,18.823267800000092,20.275875266666315
