run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep02-run010,2,10,short_out16_n8,short,8,16,43,48,45.25,362,490,450.51680400001715,128,284.1181480102907,82.26607000000286,86.3275309999949,444.9815899999976,449.4161810000037,24.13626919999956,24.820486999999503
rep02-run011,2,11,short_out16_n2,short,2,16,43,44,43.5,87,119,440.4865060000134,32,72.64694732782354,52.19106100000204,82.54459500000166,438.5587170000065,440.1667639999971,23.73427480000032,25.865046866666336
rep02-run012,2,12,short_out32_n2,short,2,32,43,44,43.5,87,151,780.3309210000009,64,82.01648592623171,57.141212999994195,74.16340699998614,779.1216099999758,779.9624499999993,22.740587193548055,23.31681409677436
rep00-run013,0,13,long_out16_n8,long,8,16,117,122,119.25,954,1082,387.03572500000405,128,330.7188244702699,73.95398399998498,77.76113299999565,382.7913849999902,386.5982410000015,20.515632133333384,21.890607000000273
rep01-run014,1,14,short_out32_n4,short,4,32,43,44,43.25,173,301,742.8006000000096,128,172.3208085723118,73.62029399999415,75.08794000000307,740.6289619999882,742.2761690000073,21.496276322580805,22.17913225806459
rep02-run015,2,15,short_out16_n1,short,1,16,44,44,44.0,44,60,370.52443099997845,16,43.182037839769144,46.92326599999319,46.92326599999319,368.1746419999854,368.1746419999854,21.41675839999948,21.41675839999948
rep01-run016,1,16,short_out16_n1,short,1,16,44,44,44.0,44,60,405.1148319999811,16,39.49497460019125,59.57056000002581,59.57056000002581,404.9115330000177,404.9115330000177,23.02273153333279,23.02273153333279
rep02-run017,2,17,long_out16_n1,long,1,16,118,118,118.0,118,134,383.45551300000125,16,41.725831178752536,48.8470649999897,48.8470649999897,383.2312949999732,383.2312949999732,22.292281999998902,22.292281999998902
rep02-run018,2,18,long_out32_n1,long,1,32,118,118,118.0,118,150,755.5307209999853,32,42.35433333226515,57.8537439999991,57.8537439999991,755.3164979999849,755.3164979999849,22.498798516128574,22.498798516128574
rep00-run019,0,19,short_out16_n8,short,8,16,43,48,45.25,362,490,440.917627999994,128,290.30365735343594,82.76460299998689,97.29370499999845,429.65624499998967,440.2692019999961,22.821697066666502,24.91494553333382
rep02-run020,2,20,long_out16_n2,long,2,16,117,118,117.5,235,267,412.90702100002363,32,77.4992876665039,59.72963700000378,80.09767200002216,410.8850120000227,412.6413399999933,22.05248933333337,23.52744686666597
rep01-run021,1,21,short_out16_n4,short,4,16,43,44,43.25,173,237,445.4838579999887,64,143.66401576777588,89.11733300001856,93.26216399998088,442.48774999999796,444.34586699998135,23.3338753333328,24.811482866666285
rep02-run022,2,22,long_out16_n4,long,4,16,117,118,117.25,469,533,420.0185789999864,64,152.37421199885083,66.37709099999256,68.43029099999853,413.3571859999847,418.73077899998634,23.075827200000276,24.400660533333014
rep00-run023,0,23,long_out16_n4,long,4,16,117,118,117.25,469,533,443.4894899999904,64,144.3100714743012,92.63610499999686,94.86754200000291,441.13322300000846,443.1626900000083,23.138681866667337,25.86126246666633
rep01-run024,1,24,short_out32_n2,short,2,32,43,44,43.5,87,151,901.426511000011,64,70.99857749801549,50.504824999990205,80.39607300000284,898.9665699999989,899.8435439999923,26.405499903225678,27.398023193548457
rep02-run025,2,25,long_out32_n2,long,2,32,117,118,117.5,235,299,831.540044999997,64,76.96562587073029,69.39454499999442,83.72703799997794,828.7581949999776,831.2706190000085,24.033263129032246,24.57664754838755
rep02-run026,2,26,short_out32_n8,short,8,32,43,48,45.25,362,618,778.7608109999837,256,328.72737865594183,82.94332900001677,87.4711120000029,773.6031550000178,778.2908239999813,22.25687896774187,22.961467225806313
rep00-run027,0,27,long_out32_n4,long,4,32,117,118,117.25,469,597,815.7653549999964,128,156.9078647621663,84.58944000000201,86.11604600000078,813.4633749999978,815.4242569999894,23.489146000000098,24.35940099999995
rep01-run028,1,28,long_out32_n2,long,2,32,117,118,117.5,235,299,807.1986120000076,64,79.28655853536006,65.27015899999355,82.51885799998604,805.7619359999819,806.9545619999872,23.33042187096761,23.92530332258044
rep00-run029,0,29,short_out32_n2,short,2,32,43,44,43.5,87,151,723.1732109999882,64,88.49885342337583,45.192466999992575,82.10320700001716,722.1326320000117,722.2325010000077,20.64611048387079,21.84000109677468
rep00-run030,0,30,long_out16_n2,long,2,16,117,118,117.5,235,267,357.7088529999912,32,89.45822763855605,45.69001799998773,66.48269000001505,356.3296199999968,357.42295999997964,19.32312866666545,20.782196133332793
rep00-run031,0,31,short_out16_n1,short,1,16,44,44,44.0,44,60,317.31211900000744,16,50.42353897614489,42.491062000010515,42.491062000010515,317.0932710000045,317.0932710000045,18.306813933332933,18.306813933332933
rep02-run032,2,32,long_out32_n4,long,4,32,117,118,117.25,469,597,724.885530999984,128,176.57960398716088,67.84986799999615,69.4226009999852,722.5938039999846,724.5346170000175,21.09700470967735,21.706937451612827
rep01-run033,1,33,long_out16_n1,long,1,16,118,118,118.0,118,134,371.16803200001414,16,43.107160694268494,48.16872800000738,48.16872800000738,370.9513299999969,370.9513299999969,21.518840133332635,21.518840133332635
rep00-run034,0,34,short_out32_n8,short,8,32,43,48,45.25,362,618,740.3485250000017,256,345.7830891200863,76.55203400000232,79.36084899998264,736.8873089999965,738.9410849999933,21.278395548387337,21.910457225806844
rep02-run035,2,35,short_out32_n1,short,1,32,44,44,44.0,44,76,725.3236980000111,32,44.1182331257561,41.2041299999828,41.2041299999828,725.1098749999869,725.1098749999869,22.061475645161423,22.061475645161423
rep02-run036,2,36,short_out32_n4,short,4,32,43,44,43.25,173,301,718.3254460000228,128,178.1922117791661,66.19461099998603,67.26448999998524,716.4618259999997,717.9432389999931,20.9607018709683,21.627056580644332
rep01-run037,1,37,long_out16_n8,long,8,16,117,122,119.25,954,1082,428.90114200000085,128,298.4370696779347,69.01576499998896,73.71931399998743,422.813581000014,427.0820790000016,23.5294812666685,24.948972400000002
rep01-run038,1,38,short_out32_n1,short,1,32,44,44,44.0,44,76,668.6748740000041,32,47.855843316762346,48.21743499999798,48.21743499999798,668.4799989999988,668.4799989999988,20.00846980645164,20.00846980645164
rep01-run039,1,39,long_out32_n1,long,1,32,118,118,118.0,118,150,694.6616939999899,32,46.06558887066035,52.84344600002555,52.84344600002555,694.3821570000068,694.3821570000068,20.694797129031652,20.694797129031652
rep00-run040,0,40,short_out32_n1,short,1,32,44,44,44.0,44,76,735.8143189999851,32,43.489232505681436,43.64130700000146,43.64130700000146,735.6014629999947,735.6014629999947,22.321295354838494,22.321295354838494
rep00-run041,0,41,long_out32_n2,long,2,32,117,118,117.5,235,299,754.825492000009,64,84.78780947159537,46.80321199998616,87.32397200000719,753.4514410000099,754.5529029999898,21.48798287096783,22.830635193548503
rep01-run042,1,42,long_out16_n2,long,2,16,117,118,117.5,235,267,405.03749400002675,32,79.00503156875124,45.67427100002419,64.88836200000492,403.7037209999994,404.7359050000239,22.587690599999632,23.937442266666647
rep01-run043,1,43,short_out16_n2,short,2,16,43,44,43.5,87,119,430.37889899997595,32,74.35308764987056,64.14187499999002,88.50814999999557,429.17100099998606,430.1104440000074,22.7108567333327,24.39790460000116
rep01-run044,1,44,long_out32_n8,long,8,32,117,122,119.25,954,1210,1074.7990529999925,256,238.1840580203803,143.42117600000392,147.3867079999991,1069.296694000002,1073.0742259999886,29.829284225806145,32.37946638709614
rep02-run045,2,45,short_out16_n4,short,4,16,43,44,43.25,173,237,560.0730250000083,64,114.2708131676205,157.74802199999272,161.61443599997938,556.3381339999864,559.1662960000008,26.365017466666057,31.54531193333317
rep00-run046,0,46,short_out16_n4,short,4,16,43,44,43.25,173,237,539.9728609999954,64,118.52447525135999,134.30594100000803,135.90410000000475,537.3290290000057,538.7868290000029,26.819793333332125,28.188179066667846
rep00-run047,0,47,short_out32_n4,short,4,32,43,44,43.25,173,301,894.5255110000119,128,143.09262108903488,92.92888600000992,94.27246100000275,892.3106720000078,893.680288000013,25.764202290323436,27.21119745161291
