workload_name,workload_path,model_config,model_config_path,capacity_config,capacity_config_path,max_concurrent_requests,scheduler_policy,requests,output_tokens,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_queue_wait_ms,max_request_kv_cache_mib,total_request_kv_cache_mib,peak_active_kv_cache_mib,p95_active_kv_cache_mib,memory_pressure_duration_ms,kv_cache_budget_mib,peak_kv_budget_utilization,p95_kv_budget_utilization,kv_budget_pressure_duration_ms,kv_budget_exceeded_duration_ms,deadline_tracked_requests,deadline_miss_rate,p95_deadline_lateness_ms,requests_per_second,output_tokens_per_second
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,2,deadline,32.0,6487.0,1844.9330000000004,7308.573999999997,7510.167999999999,6988.761999999998,438.5,4102.875,677.125,615.0,1299.641999999999,1229.0,0.5509560618388935,0.500406834825061,0.0,0.0,32.0,0.75,1140.342999999999,4.109250590833188,833.0221432104653
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,2,memory-aware-deadline,32.0,6487.0,1844.9330000000004,7308.573999999997,7510.167999999999,6988.761999999998,438.5,4102.875,677.125,615.0,1299.641999999999,1229.0,0.5509560618388935,0.500406834825061,0.0,0.0,32.0,0.75,1140.342999999999,4.109250590833188,833.0221432104653
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,4,fifo,32.0,6487.0,1787.4390000000003,3576.176999999999,3943.2929999999997,2857.6889999999994,438.5,4102.875,1148.25,1046.25,416.7380000000005,1229.0,0.9342961757526445,0.8513018714401953,410.89800000000037,0.0,32.0,0.4375,1665.9609999999989,7.20012222207472,1459.5997767062097
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,4,shortest-cache,32.0,6487.0,1155.2840000000003,3471.038,4416.717000000001,2858.539,438.5,4102.875,1397.25,1300.0,414.308,1229.0,1.136899918633035,1.0577705451586656,593.7570000000005,414.308,32.0,0.21875,323.6329999999998,6.846935055109267,1388.0021157029316
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,4,deadline,32.0,6487.0,1070.28,3736.294,3934.591,2857.4639999999995,438.5,4102.875,1197.375,1150.875,822.9070000000002,1229.0,0.9742676973148902,0.9364320585842149,727.076,0.0,32.0,0.0,0.0,7.5550366714397175,1531.5475902384203
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,4,memory-aware-deadline,32.0,6487.0,1070.28,3736.294,3934.591,2857.4639999999995,438.5,4102.875,1197.375,1150.875,822.9070000000002,1229.0,0.9742676973148902,0.9364320585842149,727.076,0.0,32.0,0.0,0.0,7.5550366714397175,1531.5475902384203
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,8,fifo,32.0,6487.0,852.1990000000002,2155.2450000000003,2311.6730000000002,908.862,438.5,4102.875,1930.5,1830.875,460.2880000000001,1229.0,1.5707892595606183,1.489727420667209,1229.352,1145.249,32.0,0.0625,148.3230000000001,12.046736821340492,2442.099430001118
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,8,shortest-cache,32.0,6487.0,460.33799999999997,2140.033,2485.5469999999996,807.3130000000001,438.5,4102.875,1981.875,1820.625,305.9399999999998,1229.0,1.6125915378356388,1.4813873067534582,1288.3689999999997,695.572,32.0,0.0,0.0,11.66838167568171,2365.3997478171013
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,8,deadline,32.0,6487.0,447.3430000000001,2271.541,2422.7749999999996,776.6310000000001,438.5,4102.875,1981.5,1822.75,348.999,1229.0,1.612286411716843,1.4831163547599675,1070.241,784.6220000000001,32.0,0.0,0.0,11.941715472209017,2420.8096333818717
mixed_bursty_32_seed568,workloads/generated/mixed_bursty_32_seed568.json,llama-7b-gqa-fp16,configs/models/llama-7b-gqa-fp16.json,tight-1-2gb-kv,configs/capacity/tight-1-2gb-kv.json,8,memory-aware-deadline,32.0,6487.0,447.3430000000001,2286.262,2324.0539999999996,1845.69,438.5,4102.875,1513.375,1469.125,787.917,1229.0,1.2313873067534582,1.1953824247355573,1775.0680000000002,631.521,32.0,0.0,0.0,12.014560145075814,2435.576614409588
